,TRAVELER_ID,VISIT_AREA_NM,ratings,SIDO,VISIT_AREA_TYPE_CD
0,e000305,실미해수욕장,1.0,인천,1
1,e000335,타임 테라스 A 블록,4.666666666666667,경기,4
2,e000335,스타필드 코엑스몰,5.0,서울,4
3,e000335,잠실종합운동장,5.0,서울,3
4,e000401,시흥 프리미엄 아울렛,2.6666666666666665,경기,4
5,e000437,선녀바위,3.3333333333333335,인천,1
6,e000437,을왕리 해수욕장,3.0,인천,1
8,e000506,전등사,4.0,인천,2
9,e000506,초지진,4.333333333333333,인천,2
10,e000506,대명항 수산물 직판장,3.6666666666666665,경기,4
11,e000506,김포함상공원,4.0,경기,7
12,e000574,전등사,5.0,인천,2
13,e000574,강화 부근리 고인돌,2.6666666666666665,인천,2
14,e000574,대한 성공회 강화성당,4.333333333333333,인천,2
15,e000580,경복궁,3.0,서울,2
16,e000588,강화풍물시장,2.3333333333333335,인천,4
17,e000632,덕수궁,4.333333333333333,서울,2
18,e000823,용기포항 서 방파제 등 대,4.333333333333333,인천,1
19,e000823,끝섬 전망대,3.3333333333333335,인천,1
20,e000823,심청각,3.0,인천,2
21,e000823,두무진,5.0,인천,1
22,e000823,중화동 교회,3.3333333333333335,인천,2
23,e000823,콩돌해안,4.0,인천,1
25,e000823,천안함 46용사 위령탑,4.0,인천,2
26,e000847,갑곶 돈대,5.0,인천,2
27,e000847,대한 성공회 강화성당,5.0,인천,2
28,e000847,강화성당,5.0,인천,2
29,e000847,고려궁지,5.0,인천,2
30,e000847,강화 광성보,5.0,인천,2
31,e000847,조양 방직,5.0,인천,4
32,e000866,수원 화성,4.0,경기,2
33,e000903,목섬(항도),5.0,인천,1
34,e000903,십리포해수욕장,5.0,인천,1
35,e000903,낙조 전망대,5.0,경기,1
36,e000905,롯데백화점 동탄점,5.0,경기,4
37,e000905,롯데 프리미엄 아울렛 타임 빌라스,4.666666666666667,경기,4
38,e000905,타임 테라스 A 블록,5.0,경기,4
39,e000905,롯데백화점 동탄점,5.0,경기,4
40,e001007,월미도,4.333333333333333,인천,6
41,e001007,선녀바위,5.0,인천,1
42,e001078,인천광역시 교육청 교육과 학정 보원 인천학생과학관,5.0,인천,3
43,e001078,인천국제공항 하늘정원,3.3333333333333335,인천,1
44,e001078,롯데마트 송도점,3.3333333333333335,인천,4
45,e001078,송도센트럴파크,5.0,인천,1
46,e001085,롯데월드타워 롯데월드몰,4.333333333333333,서울,4
47,e001112,구읍뱃터,4.0,인천,7
48,e001122,호암미술관,5.0,경기,3
49,e001133,발리다,5.0,경기,4
50,e001133,대부바다 향기테마파크,5.0,경기,1
51,e001139,현대 프리미엄 아울렛 김포점,5.0,경기,4
52,e001156,천주교 서울 대교구 주교좌 명동 대성당,3.3333333333333335,서울,2
53,e001156,명동거리,3.6666666666666665,서울,4
54,e001161,월미도,2.0,인천,1
55,e001161,현대 프리미엄 아울렛 송도점,5.0,인천,4
56,e001209,대부도,3.0,경기,1
57,e001235,헤이리 예술마을,2.3333333333333335,경기,2
58,e001253,명동거리,3.3333333333333335,서울,4
59,e001268,서울대공원,4.0,경기,6
60,e001283,서울숲,4.0,서울,7
61,e001283,더 현대 서울,4.0,서울,4
62,e001288,국립고궁박물관,5.0,서울,2
63,e001288,경복궁,5.0,서울,2
64,e001288,광화문광장,5.0,서울,3
65,e001288,롯데월드,5.0,서울,6
66,e001315,BMW 드라이빙 센터,3.6666666666666665,인천,1
67,e001315,인천공항 전망대,3.0,인천,1
68,e001315,을왕리 해수욕장,4.0,인천,1
69,e001343,물향기 수목원,5.0,경기,1
70,e001359,스타필드 고양,3.6666666666666665,경기,6
71,e001367,롯데몰 김포공항점,5.0,서울,4
72,e001368,선유도공원,5.0,서울,1
73,e001371,청계천,4.0,서울,7
74,e001371,덕수궁,4.0,서울,2
75,e001371,현대백화점 판교점,4.0,경기,4
76,e001375,을왕리 해수욕장,1.3333333333333333,인천,1
77,e001375,왕산해수욕장,4.666666666666667,인천,1
78,e001393,신포국제시장,4.333333333333333,인천,4
79,e001393,월미문화의 거리,5.0,인천,4
80,e001393,한중문화관,5.0,인천,2
81,e001393,대불호텔 전시관,5.0,인천,2
82,e001393,생활사 전시관,5.0,인천,2
83,e001393,인천개항 박물관,5.0,인천,2
84,e001393,인천개항장 근대건축전시관,5.0,인천,2
85,e001393,짜장면 박물관,5.0,인천,2
86,e001401,스타필드 코엑스몰,3.3333333333333335,서울,4
87,e001401,동대문디자인플라자,3.6666666666666665,서울,3
88,e001431,민머루해수욕장,4.0,인천,1
89,e001431,민머루해수욕장,4.0,인천,1
90,e001443,아이파크몰 용산점,4.0,서울,4
91,e001443,서울숲,5.0,서울,7
92,e001462,에버랜드,5.0,경기,6
93,e001462,호암미술관,5.0,경기,3
94,e001481,일산 호수공원,4.0,경기,7
95,e001481,일산 호수공원,4.666666666666667,경기,7
96,e001481,이케아 고양점,4.0,경기,4
97,e001481,김포 장릉,5.0,경기,2
98,e001481,수산공원,3.0,경기,4
99,e001511,대부바다 향기테마파크,5.0,경기,5
100,e001531,초지진,4.0,인천,2
101,e001531,덕진진,4.333333333333333,인천,2
102,e001531,마니산,5.0,인천,7
103,e001946,강화 광성보,5.0,인천,2
104,e001946,전등사,5.0,인천,2
105,e001954,대룡시장,4.666666666666667,인천,4
106,e001954,전등사,4.333333333333333,인천,2
107,e002041,파라다이스 시티 씨메르,4.0,인천,6
108,e002041,영종진공원,4.0,인천,7
109,e002043,을왕리 해수욕장,4.666666666666667,인천,1
110,e002091,롯데마트 영종도점,4.0,인천,4
111,e002094,동막해수욕장,5.0,인천,1
112,e002094,마호가니 강화점,4.666666666666667,인천,4
113,e002094,전등사,3.6666666666666665,인천,2
114,e002094,교동 대룡시장,4.666666666666667,인천,4
115,e002129,방아머리 해변,5.0,경기,1
116,e002129,종이 미술관,5.0,경기,3
117,e002153,동막해수욕장,1.3333333333333333,인천,1
118,e002153,옥토끼우주센터,3.6666666666666665,인천,6
119,e002153,강화 자연사박물관,4.333333333333333,인천,2
120,e002155,인천 차이나타운,4.666666666666667,인천,4
121,e002155,신포국제시장,4.333333333333333,인천,4
122,e002261,파라다이스 시티,3.0,인천,6
123,e002274,뻘 다방,5.0,인천,4
124,e002274,방아머리 해변,4.0,경기,1
125,e002274,동춘서커스 상설공연장,3.6666666666666665,경기,3
126,e002280,용문사,5.0,경기,2
127,e002294,현대 프리미엄 아울렛 김포점,5.0,경기,4
128,e002294,현대 프리미엄 아울렛 김포점,5.0,경기,4
129,e002295,종묘,5.0,서울,2
130,e002299,현대 프리미엄 아울렛 김포점,5.0,경기,4
131,e002424,왕산해수욕장,5.0,인천,1
132,e002424,왕산해수욕장,5.0,인천,1
133,e002430,에버랜드,5.0,경기,6
134,e002435,광화문광장,5.0,서울,4
135,e002435,경복궁,5.0,서울,2
136,e002439,롯데월드,4.333333333333333,서울,4
137,e002439,롯데월드타워 롯데월드몰,5.0,서울,4
138,e002444,행리단길,1.3333333333333333,경기,4
139,e002458,보문사,5.0,인천,2
140,e002458,동막해수욕장,3.6666666666666665,인천,1
141,e002466,방아머리 해변,4.0,경기,1
142,e002468,스머프 매직 포레스트,2.0,서울,3
143,e002473,대명항 수산물 직판장,4.333333333333333,경기,4
144,e002473,강화 남부농협 하나로마트 본점,4.0,인천,4
145,e002473,전등사,5.0,인천,2
146,e002474,롯데월드타워 롯데월드몰,4.666666666666667,서울,4
147,e002486,동춘서커스 상설공연장,4.333333333333333,경기,8
148,e002487,덕수궁,5.0,서울,2
149,e002496,경복궁,4.333333333333333,서울,2
150,e002509,쌀 꾸지 선착장,4.666666666666667,인천,1
151,e002509,쌀 꾸지 선착장,5.0,인천,1
152,e002543,용궁사,3.3333333333333335,인천,2
153,e002543,백운산,4.0,인천,7
154,e002545,국립민속박물관,4.333333333333333,서울,2
155,e002545,덕수궁,3.6666666666666665,서울,2
156,e002545,아이파크몰 용산점,4.0,서울,4
157,e002562,국립고궁박물관,3.3333333333333335,서울,2
158,e002562,광화문광장,3.3333333333333335,서울,8
159,e002588,롯데월드,5.0,서울,4
160,e002588,롯데월드,5.0,서울,3
161,e002588,롯데월드,5.0,서울,3
162,e002612,파라다이스 시티,5.0,인천,6
163,e002614,을왕리 해수욕장,4.666666666666667,인천,1
164,e002614,을왕리 해수욕장,5.0,인천,1
165,e002614,인천 차이나타운,3.0,인천,4
166,e002614,송도센트럴파크,4.0,인천,7
167,e002618,민머루해수욕장,5.0,인천,1
168,e002618,강화도 외포항 젓갈수산시장,5.0,인천,4
169,e002624,트리플 스트리트,4.0,인천,4
170,e002624,현대 프리미엄 아울렛 송도점,5.0,인천,4
171,e002624,송도 타임스페이스,5.0,인천,8
172,e002624,송도센트럴파크,5.0,인천,7
173,e002642,에버랜드,5.0,경기,6
174,e002667,강화 부근리 고인돌,3.6666666666666665,인천,2
175,e002667,동막해수욕장,3.0,인천,1
176,e002675,십리포해수욕장,5.0,인천,1
177,e002680,강화 루지,4.0,인천,5
178,e002680,현대 프리미엄 아울렛 송도점,4.0,인천,4
179,e002680,송도센트럴파크,2.6666666666666665,인천,7
180,e002682,수원 화성,4.0,경기,2
181,e002686,에버랜드,4.666666666666667,경기,6
182,e002688,동대문디자인플라자,2.6666666666666665,서울,3
183,e002693,인천 차이나타운,4.0,인천,2
184,e002693,월미도,5.0,인천,1
185,e002693,월미도,4.666666666666667,인천,1
186,e002693,현대 프리미엄 아울렛 송도점,4.0,인천,4
187,e002703,전등사,5.0,인천,2
188,e002703,김포 장릉,5.0,경기,2
189,e002723,물향기 수목원,5.0,경기,7
190,e002731,파라다이스 시티 씨메르,5.0,인천,5
191,e002731,파라다이스 시티 씨메르,5.0,인천,4
192,e002731,트리플 스트리트,3.0,인천,4
193,e002734,구읍뱃터,4.666666666666667,인천,1
194,e002734,현대 프리미엄 아울렛 송도점,5.0,인천,4
195,e002772,트리플 스트리트,5.0,인천,4
196,e002772,현대 프리미엄 아울렛 송도점,5.0,인천,4
197,e002772,송도센트럴파크,5.0,인천,7
198,e002772,보문사,5.0,인천,2
199,e002791,에버랜드,5.0,경기,6
200,e002795,이마트 검단점,3.0,인천,4
201,e002796,십리포해수욕장,4.0,인천,1
202,e002797,트리플 스트리트,4.0,인천,4
203,e002797,현대 프리미엄 아울렛 송도점,4.0,인천,4
204,e002807,이케아 고양점,4.0,경기,4
205,e002914,신포국제시장,5.0,인천,4
206,e002914,청라 호수 공원,5.0,인천,2
207,e002914,왕산해수욕장,5.0,인천,1
208,e002941,헤이리 예술마을,4.0,경기,2
209,e002941,한국 근현대사 박물관,5.0,경기,2
210,e002947,파라다이스 시티 씨메르,4.333333333333333,인천,4
211,e002947,파라다이스 시티,5.0,인천,6
212,e002947,파라다이스 시티,5.0,인천,3
213,e002947,파라다이스 시티 씨메르,4.0,인천,4
214,e002954,자라섬 꽃 테마공원,4.0,경기,8
215,e002955,잠실종합운동장 올림픽 주경기장,5.0,서울,3
216,e002961,파라다이스 시티 씨메르,4.333333333333333,인천,4
217,e002961,아시안 해변,2.6666666666666665,인천,1
218,e002966,무의도 해상관광 탐방로,4.0,인천,1
219,e002966,인천종합어시장,2.3333333333333335,인천,4
220,e002988,덕수궁,4.0,서울,2
221,e002988,덕수궁,4.0,서울,7
222,e003012,에버랜드,5.0,경기,6
223,e003026,동양 염전 베이커리 카페,3.6666666666666665,인천,4
224,e003028,잠실종합운동장 올림픽 주경기장,5.0,서울,3
225,e003046,덕수궁,5.0,서울,2
226,e003046,덕수궁,5.0,서울,4
227,e003047,화개 정원,3.3333333333333335,인천,1
228,e003047,화개 정원,4.0,인천,1
229,e003047,보문사,3.0,인천,2
230,e003075,자라섬 꽃 테마공원,3.0,경기,8
231,e003091,파라다이스 시티 씨메르,5.0,인천,6
232,e003091,파라다이스 시티,5.0,인천,6
233,e003091,파라다이스 시티 씨메르,5.0,인천,4
234,e003093,스타필드 고양,5.0,경기,4
235,e003166,잠실종합운동장,4.333333333333333,서울,3
236,e003169,현대 프리미엄 아울렛 송도점,5.0,인천,4
237,e003195,헤이리 예술마을,4.0,경기,4
238,e003215,남이섬,3.3333333333333335,강원특별자치도,1
239,e003224,파주 프리미엄 아울렛,5.0,경기,4
240,e003224,헤이리 예술마을,5.0,경기,4
241,e003234,목섬(항도),5.0,인천,7
242,e003234,목섬(항도),5.0,인천,1
243,e003234,목섬(항도),4.0,인천,1
244,e003244,송도센트럴파크,5.0,인천,5
245,e003244,롯데마트 송도점,5.0,인천,4
246,e003244,송도 한옥마을,3.0,인천,4
247,e003244,현대 프리미엄 아울렛 송도점,4.666666666666667,인천,4
248,e003284,발리다,5.0,경기,4
249,e003284,옹진농협 하나로마트 영흥점,4.333333333333333,인천,4
250,e003310,인천국제공항 하늘정원,4.0,인천,7
251,e003310,을왕리 해수욕장,4.0,인천,1
252,e003310,씨사이드 파크,3.6666666666666665,인천,1
253,e003313,현대 프리미엄 아울렛 김포점,4.0,경기,4
254,e003385,아시안 해변,3.6666666666666665,인천,1
255,e003395,망원한강공원,5.0,서울,1
256,e003397,보문사,4.0,인천,2
257,e003397,초지진,3.0,인천,2
258,e003399,을왕리 해수욕장,4.0,인천,1
260,e003399,동양 염전 베이커리 카페,4.0,인천,4
261,e003403,용흥궁,4.0,인천,2
262,e003403,강화성당,5.0,인천,2
263,e003403,고려궁지,5.0,인천,2
264,e003403,조양 방직,5.0,인천,4
265,e003403,연미정,5.0,인천,2
266,e003403,대룡시장,5.0,인천,4
267,e003403,보문사,5.0,인천,2
268,e003403,동막해수욕장,5.0,인천,1
269,e003448,인천 차이나타운,4.0,인천,4
270,e003450,동막해수욕장,5.0,인천,1
271,e003450,교동 대룡시장,4.333333333333333,인천,4
272,e003450,화개 정원,3.0,인천,2
273,e003457,현대 프리미엄 아울렛 김포점,4.0,경기,4
274,e003459,잠실종합운동장,5.0,서울,8
275,e003460,제부도,4.0,경기,1
276,e003461,인천 차이나타운,2.6666666666666665,인천,4
277,e003461,영종진공원,3.0,인천,1
278,e003488,김포함상공원,3.6666666666666665,경기,2
279,e003489,월미테마파크,4.0,인천,6
280,e003489,월미도,4.0,인천,7
281,e003489,인천 차이나타운,4.0,인천,4
282,e003489,인천종합어시장,4.0,인천,4
283,e003496,짜장면 박물관,4.666666666666667,인천,2
284,e003496,한중문화관,3.3333333333333335,인천,2
285,e003496,인천개항 박물관,4.333333333333333,인천,2
286,e003496,인천개항장 근대건축전시관,4.0,인천,2
287,e003496,월미도,4.333333333333333,인천,2
288,e003496,영종진공원,5.0,인천,1
289,e003496,영종진공원,5.0,인천,7
290,e003507,방아머리 해변,4.666666666666667,경기,1
291,e003507,방아머리 해변,3.6666666666666665,경기,7
292,e003522,청계천,4.666666666666667,서울,1
293,e003522,더 현대 서울,4.0,서울,4
294,e003595,생활사 전시관,3.3333333333333335,인천,3
295,e003600,시화 달 전망대(시화 이루나 타워),3.3333333333333335,경기,7
296,e003600,방아머리 해변,2.6666666666666665,경기,1
297,e003600,대부바다 향기테마파크,4.0,경기,6
298,e003606,파라다이스 시티,5.0,인천,4
299,e003607,망원한강공원,4.333333333333333,서울,7
300,e003607,더 현대 서울,5.0,서울,4
301,e003624,연미정,5.0,인천,2
302,e003624,고려궁지,3.0,인천,2
303,e003624,대한 성공회 강화성당,5.0,인천,2
304,e003654,대한 성공회 온수리 성당,2.6666666666666665,인천,2
305,e003654,동막해수욕장,3.6666666666666665,인천,1
306,e003654,보문사,4.0,인천,2
307,e003654,민머루해수욕장,2.6666666666666665,인천,1
308,e003654,강화도 외포항 젓갈수산시장,4.0,인천,4
309,e003685,방아머리 해변,4.0,경기,1
310,e003704,노가리 해변,5.0,인천,1
311,e003704,십리포해수욕장,4.666666666666667,인천,1
312,e003704,장경리 해변,3.3333333333333335,인천,1
313,e003728,월미도,5.0,인천,1
314,e003728,인천 차이나타운,5.0,인천,4
315,e003739,장경리 해변,5.0,인천,1
316,e003742,파라다이스 시티,5.0,인천,3
317,e003742,을왕리 해수욕장,2.3333333333333335,인천,1
318,e003742,선녀바위해수욕장,4.0,인천,1
319,e003748,을왕리 해수욕장,4.666666666666667,인천,1
320,e003759,영종 씨사이드 레일바이크,4.666666666666667,인천,6
321,e003759,씨사이드 파크,2.3333333333333335,인천,7
322,e003759,을왕리 해수욕장,3.3333333333333335,인천,1
323,e003770,장화리 일몰 조명지,5.0,인천,1
324,e003770,민머루해수욕장,3.3333333333333335,인천,1
325,e003785,낙조 전망대,3.6666666666666665,경기,1
326,e003800,왕산해수욕장,3.3333333333333335,인천,1
327,e003812,현대 프리미엄 아울렛 송도점,5.0,인천,4
328,e003835,월미도 선착장,2.6666666666666665,인천,4
329,e003835,월미테마파크,3.0,인천,6
330,e003835,인천 차이나타운,2.6666666666666665,인천,4
331,e003841,송도 타임스페이스,4.0,인천,4
332,e003841,송도센트럴파크,5.0,인천,1
333,e003841,현대 프리미엄 아울렛 송도점,5.0,인천,4
334,e003846,영종진공원,4.0,인천,1
335,e003851,대룡시장,5.0,인천,4
336,e003851,화개 정원,3.3333333333333335,인천,3
337,e003851,현대 프리미엄 아울렛 김포점,5.0,경기,4
338,e003851,청라 호수 공원,4.333333333333333,인천,2
339,e003851,조양 방직,5.0,인천,4
340,e003866,인천 차이나타운,2.6666666666666665,인천,4
341,e003866,월미도,2.3333333333333335,인천,2
342,e003866,예단포둘레길,4.333333333333333,인천,7
343,e003866,무의도 해상관광 탐방로,5.0,인천,7
344,e003866,무의도 해상관광 탐방로,3.3333333333333335,인천,1
345,e003879,파라다이스 시티,3.6666666666666665,인천,6
346,e003879,파라다이스 시티,3.6666666666666665,인천,4
347,e003890,트리플 스트리트,3.3333333333333335,인천,4
348,e003890,소무의도,5.0,인천,1
349,e003905,대룡시장,3.0,인천,4
350,e003905,전등사,4.333333333333333,인천,2
351,e003905,강화 루지,4.333333333333333,인천,5
352,e003962,조양 방직,5.0,인천,4
353,e003964,동막해수욕장,4.0,인천,1
354,e003964,강화 루지,4.333333333333333,인천,5
355,e003964,강화 남부농협 하나로마트 본점,5.0,인천,4
356,e003985,하나개해수욕장 유원지,4.0,인천,1
357,e004025,을왕리 해수욕장,3.0,인천,1
358,e004025,을왕리 해수욕장,3.0,인천,1
359,e004025,인천 차이나타운,4.0,인천,4
360,e004025,현대 프리미엄 아울렛 송도점,4.0,인천,4
361,e004034,동막해수욕장,3.0,인천,1
362,e004065,롯데 프리미엄 아울렛 타임 빌라스,4.0,경기,4
363,e004130,강화 부근리 고인돌,3.0,인천,2
364,e004130,강화역사박물관,4.0,인천,2
365,e004130,교동 대룡시장,3.3333333333333335,인천,4
366,e004152,초지진,3.6666666666666665,인천,2
367,e004152,덕진진,4.0,인천,2
368,e004152,동막해수욕장,5.0,인천,1
369,e004184,현대 프리미엄 아울렛 송도점,5.0,인천,4
370,e004186,파라다이스 시티,4.0,인천,6
371,e004186,파라다이스 시티,3.0,인천,3
372,e004220,월미도,4.0,인천,1
373,e004220,짜장면 박물관,3.3333333333333335,인천,2
374,e004220,송도센트럴파크,5.0,인천,1
375,e004220,송도센트럴파크,5.0,인천,5
376,e004220,현대 프리미엄 아울렛 송도점,5.0,인천,4
377,e004239,아시안 해변,4.0,인천,1
378,e004239,을왕리 해수욕장,5.0,인천,1
379,e004239,파라다이스 시티 씨메르,5.0,인천,6
380,e004244,파라다이스 시티 씨메르,5.0,인천,6
381,e004321,제부도 해안산책로,3.6666666666666665,경기,7
382,e004321,제부도,3.6666666666666665,경기,7
383,e004321,제부도 워터 워크,3.6666666666666665,경기,2
384,e004331,을왕리 해수욕장,3.0,인천,1
385,e004335,파라다이스 시티 씨메르,5.0,인천,6
386,e004335,구읍뱃터,5.0,인천,4
387,e004429,대부도,4.0,경기,1
388,e004429,스머프 매직 포레스트,4.0,서울,6
389,e004429,대부도,4.0,경기,1
390,e004439,대한 성공회 온수리 성당,3.6666666666666665,인천,2
391,e004439,보문사,4.333333333333333,인천,2
392,e004446,초지진,4.333333333333333,인천,2
393,e004446,덕진진,4.333333333333333,인천,2
394,e004446,연미정,4.333333333333333,인천,2
