,TRAVELER_ID,GENDER,AGE_GRP,MARR_STTS,JOB_NM,INCOME,TRAVEL_NUM,TRAVEL_STYL_1,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,MONTH,SEASON,HOW_LONG
0,g003414,남,20,1,3,1,2,3,대전광역시,전남,2인 여행(가족 외),1,1,7,summer,2
1,h006468,남,40,2,1,8,2,1,제주특별자치도,제주,자녀 동반 여행,8,2,9,autumn,1
2,h003272,여,50,1,2,4,1,3,제주특별자치도,제주,나홀로 여행,6,0,8,summer,1
3,h006175,여,20,1,2,6,2,4,대구광역시,제주,나홀로 여행,1,0,9,autumn,2
4,e000899,여,30,1,2,5,1,3,서울특별시,경기,부모 동반 여행,2,2,5,spring,3
5,h002865,여,30,1,12,1,1,3,부산광역시,제주,2인 여행(가족 외),3,1,9,autumn,3
6,e006309,남,30,1,13,2,2,3,서울특별시,도서 지역,나홀로 여행,7,0,8,summer,3
7,h004106,여,20,1,3,3,7,1,광주광역시,제주,나홀로 여행,4,0,8,summer,5
8,h000092,여,20,1,13,6,4,1,충청남도,제주,나홀로 여행,1,0,5,spring,4
9,h000468,여,30,1,13,4,3,6,경기도,제주,2인 여행(가족 외),2,1,6,summer,3
10,g003412,여,30,2,12,4,1,4,경기도,전북,2인 가족 여행,5,1,7,summer,2
11,g001982,여,20,1,12,1,5,2,충청북도,전남,2인 여행(가족 외),1,1,6,summer,2
12,h005961,남,40,2,1,7,1,3,서울특별시,제주,자녀 동반 여행,3,2,8,summer,5
13,e013050,남,50,2,3,8,1,4,서울특별시,도서 지역,자녀 동반 여행,3,3,9,autumn,1
14,e005738,남,40,1,1,6,1,4,경기도,인천,나홀로 여행,4,0,8,summer,1
15,h006653,여,30,1,4,4,2,2,제주특별자치도,제주,2인 여행(가족 외),2,1,9,autumn,1
16,e005457,남,30,2,13,7,1,2,경기도,도서 지역,나홀로 여행,5,0,7,summer,2
17,e002448,여,30,1,13,4,2,4,경기도,경기,2인 여행(가족 외),3,1,6,summer,2
18,h000032,여,30,2,2,7,1,3,서울특별시,제주,2인 가족 여행,2,1,5,spring,4
19,e002614,남,30,1,12,2,3,4,경기도,인천,3인 이상 여행(가족 외),3,2,6,summer,2
20,h002632,남,30,1,2,4,5,4,서울특별시,제주,3인 이상 여행(가족 외),1,2,8,summer,4
21,g002788,남,20,1,12,2,3,6,서울특별시,전남,2인 여행(가족 외),8,1,7,summer,2
22,h001276,남,30,1,3,3,1,4,경기도,제주,나홀로 여행,1,0,6,summer,3
23,h001647,여,20,1,3,4,1,1,경기도,제주,나홀로 여행,2,0,7,summer,5
24,h000794,여,40,2,2,5,6,6,경기도,제주,2인 가족 여행,1,1,7,summer,4
25,f004859,여,30,2,3,1,1,1,서울특별시,경남,자녀 동반 여행,1,3,7,summer,1
26,g002923,여,50,2,4,3,4,3,경기도,충남,2인 여행(가족 외),2,1,6,summer,2
27,h002260,여,40,2,2,5,3,1,서울특별시,도서 지역,2인 가족 여행,2,1,7,summer,7
28,h000292,여,60,1,11,6,1,4,경기도,도서 지역,2인 가족 여행,2,1,5,spring,3
