item_id,VISIT_AREA_NM,SIDO,VISIT_AREA_TYPE_CD,ratings,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,PLACE_URL,PLACE_CAT
663,실미해수욕장,인천,1,1.0,인천 중구 큰무리로 108,인천 중구 무의동 768-29,,,http://place.map.kakao.com/8102396,관광명소
1091,타임 테라스 A 블록,경기,4,4.666666666666667,경기 화성시 동탄중앙로 220,경기 화성시 반송동 96,127.0692435,37.2049197,http://place.map.kakao.com/46148832,
635,스타필드 코엑스몰,서울,4,5.0,서울 강남구 영동대로 513,서울 강남구 삼성동 159-9,127.0597769,37.5113184,http://place.map.kakao.com/1607277544,
903,잠실종합운동장,서울,3,5.0,서울 송파구 올림픽로 25,서울 송파구 잠실동 10-1,127.0730249,37.5145906,http://place.map.kakao.com/8530688,
639,시흥 프리미엄 아울렛,경기,4,2.6666666666666665,경기 시흥시 서해안로 699,경기 시흥시 배곧동 36,126.7370807,37.3797815,http://place.map.kakao.com/2142235863,
532,선녀바위,인천,1,3.333333333333333,,인천 중구 을왕동,126.3786241,37.4384375,http://place.map.kakao.com/27446297,
859,을왕리 해수욕장,인천,1,3.0,,인천 중구 을왕동 746,126.372737,37.446292,http://place.map.kakao.com/9320981,관광명소
916,전등사,인천,2,4.0,인천 강화군 길상면 전등사로 37-41,인천 강화군 길상면 온수리 635,,,http://place.map.kakao.com/8063837,
1067,초지진,인천,2,4.333333333333333,인천 강화군 길상면 해안동로 58,인천 강화군 길상면 초지리 624-1,,,http://place.map.kakao.com/18870909,
202,대명항 수산물 직판장,경기,4,3.6666666666666665,경기 김포시 대곶면 대명항1로 109,경기 김포시 대곶면 대명리 551-5,,,http://place.map.kakao.com/25460695,
135,김포함상공원,경기,7,4.0,경기 김포시 대곶면 대명항1로 110-36,경기 김포시 대곶면 대명리,,,http://place.map.kakao.com/12601465,
30,강화 부근리 고인돌,인천,2,2.6666666666666665,인천 강화군 하점면 강화대로 994-12,인천 강화군 하점면 부근리 322,,,http://place.map.kakao.com/8173287,
215,대한 성공회 강화성당,인천,2,4.333333333333333,인천 강화군 강화읍 관청길27번길 10,인천 강화군 강화읍 관청리 422,,,http://place.map.kakao.com/11295112,
47,경복궁,서울,2,3.0,서울 종로구 사직로 161,서울 종로구 세종로 1-91,126.9768967,37.5776088,http://place.map.kakao.com/18619553,관광명소
36,강화풍물시장,인천,4,2.333333333333333,인천 강화군 강화읍 중앙로 17-9,인천 강화군 강화읍 갑곳리 849,126.4929016,37.7417278,http://place.map.kakao.com/18871394,
224,덕수궁,서울,2,4.333333333333333,서울 중구 세종대로 99,서울 중구 정동 5-1,126.9748948,37.5655639,http://place.map.kakao.com/10305191,관광명소
808,용기포항 서 방파제 등 대,인천,1,4.333333333333333,,인천 옹진군 백령면 진촌리 2621,124.73688,37.9543767,http://place.map.kakao.com/2018734013,
140,끝섬 전망대,인천,1,3.333333333333333,,인천 옹진군 백령면 진촌리 산 47-2,124.7187639,37.9620507,http://place.map.kakao.com/389611980,관광명소
664,심청각,인천,2,3.0,,인천 옹진군 백령면 진촌리 산 146-1,124.7135117,37.9799602,http://place.map.kakao.com/7986436,
266,두무진,인천,1,5.0,,인천 옹진군 백령면 연화리 산 256-1,124.6169526,37.9769545,http://place.map.kakao.com/7852811,
1027,중화동 교회,인천,2,3.333333333333333,인천 옹진군 백령면 중화길 230-7,인천 옹진군 백령면 연화리 335,124.651285,37.9281509,http://place.map.kakao.com/9443111,
1087,콩돌해안,인천,1,4.0,,인천 옹진군 백령면 남포리 1764-7,124.6990695,37.927139,http://place.map.kakao.com/11236661,관광명소
1050,천안함 46용사 위령탑,인천,2,4.0,,인천 옹진군 백령면 연화리 958-1,124.6274172,37.944433,http://place.map.kakao.com/92520202,
21,갑곶 돈대,인천,2,5.0,,인천 강화군 강화읍 갑곳리 1022,126.5179046,37.7326754,http://place.map.kakao.com/8677834,
34,강화성당,인천,2,5.0,인천 강화군 강화읍 북문길 41,인천 강화군 강화읍 관청리 643,126.485064,37.7505917,http://place.map.kakao.com/12819894,
54,고려궁지,인천,2,5.0,인천 강화군 강화읍 북문길 42,인천 강화군 강화읍 관청리 743-1,126.4850253,37.7512583,http://place.map.kakao.com/8177611,
27,강화 광성보,인천,2,5.0,인천 강화군 불은면 해안동로466번길 27,인천 강화군 불은면 덕성리 27,126.5298093,37.6651401,http://place.map.kakao.com/8185328,
