,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PHOTO_URL,PLACE_URL,PLACE_CAT
0,0,0,0,1,h000001_900106,126.4846686,33.5114235,2023-04-29 22:54:00,h_h000001,1,제주특별자치도 제주시 용담삼동 2555,제주특별자치도,제주시,용담삼동,제주어멍 통갈치 제주공항본점,https://lh3.googleusercontent.com/places/ANXAkqEHnW3-kKYjOpjUyS11sEE9X5p0IOMNjv1Mzd_hJEf2d4K2wyZMCDCeqomsngNB64K7TLtTvzkkcA5U_u_gCnrufG7-ujLYwjA=s4800-w4800-h2700,http://place.map.kakao.com/1903594998,음식점
1,1,1,1,2,h000001_900106,126.4851633,33.5114461,2023-04-30 02:12:00,h_h000001,2,제주특별자치도 제주시 용담삼동 2555,제주특별자치도,제주시,용담삼동,제주고집 제주공항점,https://lh3.googleusercontent.com/place-photos/AEkURDyCqI3DillAjSVQYAIj9dzpHnUThIhmbT1c4eqVSnnB1eQo4cbiczGE0_ymQpqLSnSEzD5OfeSGxMP9MmSBMVjEyGte7piGysded5oX8Zh4MxD4Ui_M26i6AOO4EGUVXMcAbQGtSjWCyFE95w=s4800-w3600-h4800,http://place.map.kakao.com/1266175207,음식점
2,2,2,2,3,h000001_900106,126.5486443,33.4757968,2023-04-30 12:21:00,h_h000001,2,제주특별자치도 제주시 아라일동 6171,제주특별자치도,제주시,아라일동,고서방짬뽕,https://lh3.googleusercontent.com/place-photos/AEkURDzVxLVgjy5RzlyESk0pM7w8A7RpZnmm6epZFFO7i9FGFE3e4D8Z-ZGzCg7pkvqNFUjJcJV-hiHsLvH6pOm8MlTq4UV3CzRzi26He3phyWIYO71Znt5nUbSBRTfv-r2S9XbbWYDsPPyOKSTayQ=s4800-w4032-h3024,http://place.map.kakao.com/1528548685,음식점
3,3,3,3,4,h000001_900106,126.6700709,33.5426264,2023-04-30 14:16:00,h_h000001,2,제주특별자치도 제주시 조천읍 함덕리 1004-58,제주특별자치도,제주시,조천읍 함덕리,함덕뚝배기,https://lh3.googleusercontent.com/place-photos/AEkURDyzi2Qp2PHsg6U7CC1hSZ-UkhXGkNKOk9xZ9VUSpOI0MHoC8FMXI3hh1N6G2nrPpkS7S4my43b261vdJxx4iMx1Yy1cF0G1U_Uhbei1XhPEZiCGhETjahzs3rDkhD7X5i8lm0PVQHbyVuSPmeM=s4800-w3600-h4800,http://place.map.kakao.com/27596580,음식점
4,4,4,4,5,h000001_900106,126.8806871,33.5265546,2023-04-30 15:14:00,h_h000001,2,제주특별자치도 제주시 구좌읍 하도리 1952-6,제주특별자치도,제주시,구좌읍 하도리,하도로와족욕카페,https://lh3.googleusercontent.com/place-photos/AEkURDzBXWeeED66miZyHYF8AZnK4sx4CK0smm-KSpyrrpm13rFTqwYTREmjfcZDhfvF84Iw_4ET7tj-nwKx1p0zSR7CIYKKrlHSPiIR8Q2J_mf_YcEtzxdStiqvnlPgroIg9Qj2We6TlfUGGBeQVSA=s4800-w4000-h2252,http://place.map.kakao.com/2024564463,카페
5,5,5,5,6,h000001_900106,126.9132899,33.4681075,2023-04-30 18:46:00,h_h000001,2,제주특별자치도 서귀포시 성산읍 오조리 494-2,제주특별자치도,서귀포시,성산읍 오조리,썬레이크빌 제주,https://lh3.googleusercontent.com/place-photos/AEkURDwBXa8vvgMaIMksxK62lU8CfSlfGFDgF7Vr6SNW9mzn4DXlEySGGtBx6FD7-W0QsknpqjArLEXzyjigIzq7GmLWR1P2E8GyxYMwMkw0JNgYg6OD0cUMEeFKDhGKt4Md2k4_fq5UC2wbxzsIEQ=s4800-w4160-h2340,http://place.map.kakao.com/25624648,숙박
6,6,6,6,7,h000001_900106,126.9112945,33.4648074,2023-05-01 00:44:00,h_h000001,3,제주특별자치도 서귀포시 성산읍 오조리 609-1,제주특별자치도,서귀포시,성산읍 오조리,제주다모르,https://lh3.googleusercontent.com/places/ANXAkqFFIXappOJ-2X_6RxrRzQmSq1vv5hgnv65jWzr33AP1yl8C20-0CtprXWk3PARMg4rCgh_el1Hy1_-noJWvHwTh0-711ROohS8=s4800-w1440-h753,http://place.map.kakao.com/78683060,숙박
7,7,7,7,8,h000001_900106,126.9644691,33.5134004,2023-05-01 13:42:00,h_h000001,3,제주특별자치도 제주시 우도면 우도해안길 914,제주특별자치도,제주시,우도면,우도해녀922,https://lh3.googleusercontent.com/place-photos/AEkURDyNvB1uEDhSUZChM4NpRAd6M-d2lAjsrLXFfh3wxUj_e0poQs7BY65zURXp6qIPg9lN5ReMV_FVeE_9u7EOvmbxnk-bNVxi81iM7ckM0iZjHulM4pQPVHKB9MIMOh6Y2nj4r4Gm3wA9RlxdmXY=s4800-w4032-h3024,http://place.map.kakao.com/1036297229,음식점
8,8,8,8,9,h000001_900106,126.9574912,33.5137181,2023-05-01 13:56:00,h_h000001,3,제주특별자치도 제주시 우도면 연평리 1290-5,제주특별자치도,제주시,우도면 연평리,하고수동해변,https://lh3.googleusercontent.com/place-photos/AEkURDxBgMkLsqeFEmEAqEAtbilPuWZRSt_sqITSHB3gKw0dsey-fDnnbh2PP7Org3b47Y-JJYBKT6HQJkMY0P9tHaLBiKAmb6qtB9r7yLhOfO6rXtlz9fUwBHcgRseMwOeAKW2oSckfGm1YM08d0w=s4800-w2880-h2160,http://place.map.kakao.com/8132634,관광명소
9,9,9,9,10,h000001_900106,126.942886,33.50318,2023-05-01 15:03:00,h_h000001,3,제주특별자치도 제주시 우도면 연평리 2565-1,제주특별자치도,제주시,우도면 연평리,빨간머리앤의집,https://lh3.googleusercontent.com/place-photos/AEkURDzhsAfRCZ0SKoD_M6Zzt_Q0_hCYmRAavmVqguwaELjhFbQ50PyquLY6x0t9ckev0yKNBJTFbo4kbo29G3jdkeg52i0fTg-uaprqeq1peCGGCwf782r4cz__bnQpWttpnxHt1Q05Zjhf070Z5Q=s4800-w1600-h965,http://place.map.kakao.com/7912627,문화시설
