,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PHOTO_URL,PLACE_URL,PLACE_CAT
0,0,0,0,h000652_62851,126.4928019,33.5192423,2023-06-17 15:14:00,h_h000652,1,제주특별자치도 제주시 용담삼동 2319-2,제주특별자치도,제주시,용담삼동,해녀잠수촌,https://lh3.googleusercontent.com/place-photos/AEkURDwNWAM5CZD0j2MUs_DivufqhBvPJeRf7ouUI9qoiYGPFTc_cotePeqWafwmofDQHJH0gCH2R1Wqh3iiTkt-4nAOLnsyA9yFWbVKydqXKQT9c0Wrbd1Rye2mtePXTdIzHc1uotRqsWfex7ppfA=s4800-w4000-h3000,http://place.map.kakao.com/9648399,음식점
1,1,1,1,h000652_62851,126.2426671,33.3964714,2023-06-17 17:00:00,h_h000652,1,제주특별자치도 제주시 한림읍 협재리 1709-1,제주특별자치도,제주시,한림읍 협재리,수우동,https://lh3.googleusercontent.com/place-photos/AEkURDz05lgosmvONl2cxmINzL4fgpj8NCWsgXTp5aivO65DwQ30n0WVe2x_vLTfF1og5ULy83o--Ky90Umq8_fgKvfRmSlzG3BYZifnvYr3FKFfNN62lqkpMVBDhwgd3fouz9cJSLT2_jIM7nlxcpE=s4800-w1440-h1080,http://place.map.kakao.com/24910644,음식점
2,2,2,3,h000652_62851,126.3480201,33.3950605,2023-06-17 18:29:00,h_h000652,1,제주특별자치도 제주시 애월읍 어음리 1515-1,제주특별자치도,제주시,애월읍 어음리,꽃피는집,https://lh3.googleusercontent.com/place-photos/AEkURDzFsH8-k22wmtt2rYtjCzcHVM6mcEh7C5B36UfGNwZ86wgn1kHRZzna0iD3xeMCNjsPfcm1GrMhcrVN8oAq1jeqkFDvs7Mm0lfqjSm5lB6W1RHc9Ka3A_jr4a8QKSBPcW1wFfImAWAVj1hlvGXK5aIXPA=s4800-w3839-h4800,http://place.map.kakao.com/14604432,숙박
3,3,3,4,h000652_62851,126.3562286,33.475374,2023-06-17 23:25:00,h_h000652,1,제주특별자치도 제주시 애월읍 부룡수길 33,제주특별자치도,제주시,애월읍,고팡,https://lh3.googleusercontent.com/place-photos/AEkURDyUFdVOZaNUOYEQyAFqeX8Kivw1rsS4xjctGpLJ0wd6el4ufHzzmxHD5yfGVkfnleWH1nZELWYTbLdoFunAzd1-IKGW7QrPUBZrztxEQVGuLsxDmfruQduMSITlcfX1UhOm-lXNRhRGAjX5=s4800-w2160-h3840,http://place.map.kakao.com/21490592,음식점
4,4,4,5,h000652_62851,126.2400194,33.3932376,2023-06-18 12:19:00,h_h000652,2,제주특별자치도 제주시 한림읍 협재리 2447,제주특별자치도,제주시,한림읍 협재리,컨테이너야드협재타운,,http://place.map.kakao.com/26919625,관광명소
5,5,5,6,h000652_62851,126.248906,33.2200716,2023-06-18 14:14:00,h_h000652,2,제주특별자치도 서귀포시 대정읍 하모리 1089-24,제주특별자치도,서귀포시,대정읍 하모리,옥돔식당,https://lh3.googleusercontent.com/place-photos/AEkURDz9qurcJTcKVN6lxGJV5Ry1QhFamkP6oyIFaROGxSarS-PgAkmyf618DjQsg6f6NYLU8Jyba9ADl4JYz0h8w5xDePJvFCiSs4SWvsfRgtB_T8hh0F8vTZBeSa8ozvrGO5GuPWM21fg6wWzlRAQ=s4800-w2560-h1440,http://place.map.kakao.com/9940398,음식점
6,6,6,7,h000652_62851,126.3680319,33.2348373,2023-06-18 15:23:00,h_h000652,2,제주특별자치도 서귀포시 안덕면 창천리 820-9,제주특별자치도,서귀포시,안덕면 창천리,오늘은회,https://lh3.googleusercontent.com/place-photos/AEkURDy0ckeklDRGYE3rhyQ3HTUUH1a23JxgVYNvEM8AMU-2aait6cG4vqxlosdO-6JiAW9gOLm-EtktPu0eBd9ueEXMyZWySqOzXeB-0piRrFSZuaDamm0U2oFWz2hKK7f9IbCNkdoDhMw2nnf6D5Q=s4800-w4000-h3000,http://place.map.kakao.com/23440451,음식점
7,7,7,8,h000652_62851,126.5905278,33.244736,2023-06-18 17:33:00,h_h000652,2,제주특별자치도 서귀포시 보목동 1637,제주특별자치도,서귀포시,보목동,보래드베이커스,https://lh3.googleusercontent.com/places/ANXAkqFMRuEw9AEwx_bufdD16J843JL64J_5D5nNnQK-M3lCt8ZzSQQF05uTQcTrNOdTMMQMjlHZn14r2s_MTEaBEmVkBas07DKYqNw=s4800-w1440-h960,http://place.map.kakao.com/460384368,음식점
8,8,8,9,h000652_62851,126.5634452,33.2498685,2023-06-18 19:40:00,h_h000652,2,제주특별자치도 서귀포시 서귀동 340,제주특별자치도,서귀포시,서귀동,남매네흑돼지,https://lh3.googleusercontent.com/place-photos/AEkURDy7RK9uFNmEmgwCEqVovBhS4u0uKf4fgvJtcoc0Ga1ZQGGZB2EFxsGPfOq4gYefa_uTcayKIyYQgAO5G5MG4R_rztg6QwbF0rmlwqQuuc2doQbuAYO4r8jBuPQlE1y8UCrF76enwH3ShrwtNw=s4800-w4032-h3024,http://place.map.kakao.com/1144232432,음식점
9,9,9,10,h000652_62851,126.5626166,33.250271,2023-06-18 19:51:00,h_h000652,2,제주특별자치도 서귀포시 서귀동 340,제주특별자치도,서귀포시,서귀동,뽈살집 제주본점,https://lh3.googleusercontent.com/place-photos/AEkURDzmkB6T9yIGl6rCsog8PL2uib6DOpC78mR6MHfGxT-WtGxCdQRqR8hjl1yvSaH_HIXvU4s7gJRA4x0kLBz9NZ3tRm6tXqFyaMNCvt1zFbT0cJMMVDFJO9vRiHi3ihY1zQs1g-UtE2vKndTsBUl7_zgMtA=s4800-w4000-h3000,http://place.map.kakao.com/11733078,음식점
