,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PHOTO_URL
0,0,0,h001195_64923,126.2604396561368,33.41212128216652,2023-06-21 09:47:00,h_h001195,1,제주특별자치도 제주시 한림읍 한림리 1582,제주특별자치도,제주시,한림읍 한림리,다가미 한림점,https://lh3.googleusercontent.com/place-photos/AEkURDwjAIwvWgnxJ1qYcvQ_4r0Eaw2_zLodu-TCHgxAEP4smKuXxlFsayC7qOgNPcqh9A9SbFZpezweMpLpq5y5YYeC8F3q6JY3ehoBYD14-y-7W-qIqMyTy51pDrGaACbkdlEjGE7PcQ99JC_uhg=s4800-w3024-h4032
1,1,1,h001195_64923,126.21641937345036,33.37969878463749,2023-06-21 10:43:00,h_h001195,1,제주특별자치도 제주시 한림읍 월령리 332-5,제주특별자치도,제주시,한림읍 월령리,월령작야,https://lh3.googleusercontent.com/places/ANXAkqFbUYFjvEzWFVe9WmQ7y6twg5pgzQTwMxHcA2J3-mQE3Yzf_qYcvsD5GF22vXxKIFQkCBA_YyX5rF5svb5bU8L8VeXpEqcqbeg=s4800-w960-h540
2,2,2,h001195_64923,126.23893290525052,33.38897124429877,2023-06-21 11:37:00,h_h001195,1,제주특별자치도 제주시 한림읍 한림로 300,제주특별자치도,제주시,한림읍,한림공원 아열대식물원,https://lh3.googleusercontent.com/place-photos/AEkURDzaHXUYkdBkvJW7_c9-yqJ9DAG3auxVPmm-bF02A6Qb61hsH_pwJRkSaJLF8kPk0kjgPD7IK2sZAc6dKF1dFpvfPNfSC4sT3N6wrdUJ8eBl5YCaUbQPuIgmb4xL4Wp52JM0oan9L83ITJ72aEPMoFqS=s4800-w2645-h1833
3,3,4,h001195_64923,126.2402782066299,33.3885930962224,2023-06-21 12:10:00,h_h001195,1,제주특별자치도 제주시 한림읍 한림로 300,제주특별자치도,제주시,한림읍,한림공원,https://lh3.googleusercontent.com/places/ANXAkqExelW7CH_qUvLocijpJ-Nj_SBe3e7erBHtj4LZTGyhOFN6M4xeGn-7_DhqyZp40hb1lE64J_kSZq8BLKY-vYb-CVd2F600tZw=s4800-w3840-h2560
4,4,5,h001195_64923,126.23788511734452,33.39027759936777,2023-06-21 12:46:00,h_h001195,1,제주특별자치도 제주시 한림읍 한림로 300,제주특별자치도,제주시,한림읍,야자수카페,
5,5,6,h001195_64923,126.26227510867832,33.41565823029836,2023-06-21 14:11:00,h_h001195,1,제주특별자치도 제주시 한림읍 한림리 1328-21,제주특별자치도,제주시,한림읍 한림리,제주등대아구찜,https://lh3.googleusercontent.com/place-photos/AEkURDzqS7c-t9gDsBkU4bdUoqiU712EAFa3Sfue28wOxDy7SWrSixtgvPbZPfhs3f9_6NHkwpJhVjdPUbW2ACokXtRVARlgatY_coaVcSSPzvau3dIFlbnjWxBoKiryiNVysnxRKnX-cDqjad3LCAU=s4800-w4032-h3024
6,6,7,h001195_64923,126.31987731516163,33.46450411767356,2023-06-21 16:37:00,h_h001195,1,제주특별자치도 제주시 애월읍 애월리 2628,제주특별자치도,제주시,애월읍 애월리,숙이네보리빵,https://lh3.googleusercontent.com/place-photos/AEkURDyTZLevBl25kFgayDtUBdrSDPURD5eB_jQ3BvvfUjBhNKX_zpQI5jVNeW20-_vAgF1IkRTgV-NnYXEI7KRzIUXAFch8FG7EtEu-wRi-5ZWTDzR2uKWClsFlje3vDo0_G9n4Tmbl45Pk3_HupQ=s4800-w3024-h4032
7,7,8,h001195_64923,126.31754916942197,33.46064021517388,2023-06-21 17:24:00,h_h001195,1,제주특별자치도 제주시 애월읍 애월리 2221-4,제주특별자치도,제주시,애월읍 애월리,피자그리기앤파닭,https://lh3.googleusercontent.com/place-photos/AEkURDwRBOVDXDwITwfzqSNgbqztcIRz96QY7v3MXwsWRRHmKnhQjsVTXVjTAX34aWg2-gb3EEY_eGAenX04RLd7ryHpgtVjJ1eNdfzGa5oOXJbjzRX0i4ZJlNlGZMtg71fjN9u4z8vGg-D1U0dL7cE=s4800-w4032-h3024
8,8,9,h001195_64923,126.215293426151,33.38058312926553,2023-06-22 04:06:00,h_h001195,2,제주특별자치도 제주시 한림읍 월령리 344,제주특별자치도,제주시,한림읍 월령리,월령코지펜션,https://lh3.googleusercontent.com/place-photos/AEkURDxqcB_nstjEkSZPkAyOqwZmmT-ECimlj6gUiKjLnEsV3JzjYSab2scBJV2PzuZ20Nj0iW52tL4Ij3-B7I9rFC2mp44L9i3rJP0o7dbgivfTyBgTFtD5Bc5LbtWkLPTvXdzQ8ioa_rjp3y2B_w=s4800-w4000-h3000
9,9,10,h001195_64923,126.21894398471278,33.38076267690504,2023-06-22 11:02:00,h_h001195,2,제주특별자치도 제주시 한림읍 금능리 2316,제주특별자치도,제주시,한림읍 금능리,하와이레스토랑,https://lh3.googleusercontent.com/places/ANXAkqGFHzx0NzPBPW6dFIA9xJ7GjKpu_UzI8ToduYlh3zh4u2dR3xTXAo-KaDWFDqiApxdg1RnWTqzYxSo5i3o5UZQjLC5aqF8tJxU=s4800-w1200-h673
