,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PLACE_URL,PLACE_CAT,PHOTO_URL
0,0,0,1,h001726_67693,126.5476549524128,33.51290619705012,2023-07-13 10:37:00,h_h001726,1,제주특별자치도 제주시 건입동 585-1,제주특별자치도,제주시,건입동,사라노을숲,http://place.map.kakao.com/214377173,관광명소,https://lh3.googleusercontent.com/place-photos/AEkURDydkOl1ryJNSpX6xHYfYR7oJhUMqrp2VdqTQ_5Pb8wKn5_EYMMeYNbBGLXLbmAPiesYlsXn5hVzJoR_mqSMAvUWOjfeSV_dQ7kJVVB8Xxi1G0gWGg_brfv8o1dyIdiKuIWZfGn1BkWvJy18yw=s4800-w4032-h3024
1,1,1,2,h001726_67693,126.5420319239974,33.51043389230731,2023-07-13 11:19:00,h_h001726,1,제주특별자치도 제주시 일도이동 430,제주특별자치도,제주시,일도이동,밀칼국수,http://place.map.kakao.com/15755556,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDwlefOtYuyqrSH0mHAgnrvONp2ntfr3YMuBc-etBK8sFpVSbiQpFH4SXy_5-2hOTzCiqmvmg4dpxxFHYm2qMkcB-ZD9IlbHMm1raUkqVy7RDMY4iEYLXyi70-VYs7u6fZ01CynPKFFEpnzKO-U=s4800-w4032-h3024
2,2,2,3,h001726_67693,126.51184682005628,33.492850900916224,2023-07-13 11:46:00,h_h001726,1,제주특별자치도 제주시 오라이동 1208-1,제주특별자치도,제주시,오라이동,덕인당 제주점,http://place.map.kakao.com/27414144,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDzaC-6beqz252oQfHIlUb_LaYvbOFQxlZ-eLvcW2I5fqLOlkeNlbOyzFQw8j3uD1Qb-5YWWTiuxO71DwgJ3pG_MJs8f3w7YZd2ymw-ts-EJ2FkEqdfIsySZS6yn_qSPjiCCltoIwZOrhOs-9A=s4800-w4000-h2250
3,3,3,4,h001726_67693,126.48310697965776,33.47622100604438,2023-07-13 14:41:00,h_h001726,1,제주특별자치도 제주시 노형동 765,제주특별자치도,제주시,노형동,에크,http://place.map.kakao.com/1571874930,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDyxvn7bxpf3LcA6xiS9z5oF0ZXstOHAYZzTZPsH-lXiHfvs-ToxeKs_sZN8V0qDTzjJMtr5nNAGpZ5t-K4VF6OV2fWfTv3uYxN82FfB2V-O3NS6P3y-pWNPhW6hPbaGytLOuXN1zOujiAI-pKrlrdx2UA=s4800-w4800-h3600
4,4,4,5,h001726_67693,126.42912612564908,33.486541169463806,2023-07-13 18:30:00,h_h001726,1,제주특별자치도 제주시 외도일동 542-18,제주특별자치도,제주시,외도일동,칸스다이닝 제주,http://place.map.kakao.com/720074895,음식점,https://lh3.googleusercontent.com/places/ANXAkqHaiCdHIZJT_-HCin-Od6RDLgKyXhDujPxZx4wRjpc9MZUb4h5LwtfW8LKGsA0gArzXjxjEOmtnxXJlQu95Vfh8_8D-U4-uloU=s4800-w1280-h1280
5,5,5,6,h001726_67693,126.42884073272778,33.48573012490411,2023-07-13 19:18:00,h_h001726,1,제주특별자치도 제주시 외도일동 654-1,제주특별자치도,제주시,외도일동,방일해장국 외도점,http://place.map.kakao.com/26934122,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDzWNWrUjmOT92DK-sBa00bLRozaaKtQYz6MMY3BmYEskhaXBixvtUW6KzCJZ1vJw64ez39zo69wdchegaJ8RfZJchOyrz34mMQgli87q3a7fYFrct9bB4sl5ZURA7q8l9Yi60JnC81t_7Lp4IQ=s4800-w4032-h3024
6,6,6,7,h001726_67693,126.48791628887564,33.51727028593107,2023-07-14 06:40:00,h_h001726,2,제주특별자치도 제주시 용담삼동 2398,제주특별자치도,제주시,용담삼동,고기장,http://place.map.kakao.com/2117609179,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDyHY94kPLnfulq8lx4_le6GuVeyXTI6P8L7HKMGtoiz6vBQQl9yo0ABk4cW9JSbVDDhny-LIz3G_li-ZQp3Y8PesbQB3-Het8K1Tjb_VyJLYkDbXX4rO67XANBX0xwAzupmRkKi2Jv2tpyH7g=s4800-w4000-h3000
7,7,7,8,h001726_67693,126.2660577802554,33.33792631142566,2023-07-14 12:38:00,h_h001726,2,제주특별자치도 제주시 한경면 저지리 2120-30,제주특별자치도,제주시,한경면 저지리,더애월 저지점,http://place.map.kakao.com/1777187462,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDy8frHMZ_M-o-UlhhIjEsDSaZ20PeNnMiM6W3VwR94cK71JQjdwIKzUmDaPwNYXcgymijfFr-c1mIqPBin72ckQuQCUNq-ekQNpUQRRxZgURSRYWYSjw3mGmpSRtKAywtoaWBed5WMXRgYW2qA=s4800-w1920-h1080
8,8,8,9,h001726_67693,126.38339770516342,33.241441194985725,2023-07-14 18:05:00,h_h001726,2,제주특별자치도 서귀포시 하예동 1962-17,제주특별자치도,서귀포시,하예동,애월연탄집 서귀포점,http://place.map.kakao.com/639939011,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDzexJRQHRwcCux8G93q3mbyyVYngXK98qgxCTcvYWInYNhClCUOs90buJLjpVpgriTqIbhOveDAuM7wNoJ8OS_Zl-_xCxIJfSiagQd8IQzcxm0rt2aiaslcjsVDlnKgBNzcsp0cxs_R-tFTRA=s4800-w4032-h1908
9,9,9,10,h001726_67693,126.33669704637782,33.246906977331804,2023-07-14 19:25:00,h_h001726,2,제주특별자치도 서귀포시 안덕면 화순리 324-2,제주특별자치도,서귀포시,안덕면 화순리,명경식당,http://place.map.kakao.com/8997106,음식점,https://lh3.googleusercontent.com/place-photos/AEkURDyfCgxFzMZdotcsg6zZWIhVaLAAICTJ3u1nG3eP5Z5d_3HRWU-NbVBVQs_6enQ17YrDjMQgQlJcKoWrEjIxKrdFC8FvKQjp8JcdCDiI0DHBdwF9xZgm-yxLzFj51FPvViy6Dg4dTdpLgtuMiak=s4800-w4000-h2252
