,Unnamed: 0.1,Unnamed: 0,MOBILE_NUM_ID,X_COORD,Y_COORD,DT_MIN,TRAVEL_ID,TRAVEL_DAY,ADDRESS_FULL,ADDRESS_1DEPTH,ADDRESS_2DEPTH,ADDRESS_3DEPTH,ADDRESS_NAME,PLACE_URL,PLACE_CAT
0,0,0,h002656_73109,126.51387958461174,33.514849675018915,2023-08-25 09:15:00,h_h002656,1,제주특별자치도 제주시 용담이동 455-4,제주특별자치도,제주시,용담이동,송도옥,http://place.map.kakao.com/671948566,음식점
1,1,1,h002656_73109,126.51201499873258,33.51467415735012,2023-08-25 10:05:00,h_h002656,1,제주특별자치도 제주시 용담이동 481-13,제주특별자치도,제주시,용담이동,복길 제주공항점,http://place.map.kakao.com/918959705,음식점
2,2,2,h002656_73109,126.65299238788194,33.549767888543144,2023-08-25 11:18:00,h_h002656,1,제주특별자치도 제주시 조천읍 신흥리 30-3,제주특별자치도,제주시,조천읍 신흥리,심해,http://place.map.kakao.com/187500550,음식점
3,3,3,h002656_73109,126.36661262224244,33.39045159563955,2023-08-25 13:28:00,h_h002656,1,제주특별자치도 제주시 애월읍 천덕로 880-24,제주특별자치도,제주시,애월읍,9.81파크 제주,http://place.map.kakao.com/1868828759,관광명소
4,4,4,h002656_73109,126.3660978220856,33.391157132448164,2023-08-25 14:13:00,h_h002656,1,제주특별자치도 제주시 애월읍 천덕로 880-24,제주특별자치도,제주시,애월읍,브로콜리지,http://place.map.kakao.com/1283240520,음식점
5,5,6,h002656_73109,126.24240581718456,33.39549448965112,2023-08-25 17:56:00,h_h002656,1,제주특별자치도 제주시 한림읍 한림로 363,제주특별자치도,제주시,한림읍,협재고기부엌,http://place.map.kakao.com/850594024,음식점
6,6,7,h002656_73109,126.24104999248875,33.39476860416186,2023-08-25 18:48:00,h_h002656,1,제주특별자치도 제주시 한림읍 협재리 2447-45,제주특별자치도,제주시,한림읍 협재리,도돈 협재흑돼지본점,http://place.map.kakao.com/408133622,음식점
7,7,8,h002656_73109,126.3771108276716,33.483401109708296,2023-08-25 20:24:00,h_h002656,1,제주특별자치도 제주시 애월읍 애월해안로 708,제주특별자치도,제주시,애월읍,돌빌레,http://place.map.kakao.com/16632722,음식점
8,8,9,h002656_73109,126.37662748968395,33.4813387827555,2023-08-25 23:12:00,h_h002656,1,제주특별자치도 제주시 애월읍 구엄길 78-4,제주특별자치도,제주시,애월읍,정낭펜션,http://place.map.kakao.com/724725341,숙박
9,9,10,h002656_73109,126.38054368652924,33.48061784777607,2023-08-26 00:35:00,h_h002656,2,제주특별자치도 제주시 애월읍 구엄리 668-1,제주특별자치도,제주시,애월읍 구엄리,고토커피바,http://place.map.kakao.com/557408083,카페
