,GENDER,AGE_GRP,MARR_STTS,JOB_NM,INCOME,TRAVEL_NUM,TRAVEL_STYL_1,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,MONTH,SEASON,HOW_LONG,TRAVELER_ID,cluster,cluster_name
0,남,40,2,1,8,2,1,제주특별자치도,제주,자녀 동반 여행,8,2,9,autumn,1,h006468,1,자연집중 번개여행 패밀리
1,여,50,1,2,4,1,3,제주특별자치도,제주,나홀로 여행,6,0,8,summer,1,h003272,3,솔로감성 잠깐 리프레시러
2,여,20,1,2,6,2,4,대구광역시,제주,나홀로 여행,1,0,9,autumn,2,h006175,3,솔로감성 잠깐 리프레시러
3,여,30,1,12,1,1,3,부산광역시,제주,2인 여행(가족 외),3,1,9,autumn,3,h002865,6,뉴트럴바이브 듀오 스테이러
4,여,20,1,3,3,7,1,광주광역시,제주,나홀로 여행,4,0,8,summer,5,h004106,2,탐험 ON한 듀오 트래블러
5,여,20,1,13,6,4,1,충청남도,제주,나홀로 여행,1,0,5,spring,4,h000092,4,느슨하게 떠나는 듀오 무드러
6,여,30,1,13,4,3,6,경기도,제주,2인 여행(가족 외),2,1,6,summer,3,h000468,4,느슨하게 떠나는 듀오 무드러
7,남,40,2,1,7,1,3,서울특별시,제주,자녀 동반 여행,3,2,8,summer,5,h005961,5,차분템포 자연수집 패밀리
8,여,30,1,4,4,2,2,제주특별자치도,제주,2인 여행(가족 외),2,1,9,autumn,1,h006653,3,솔로감성 잠깐 리프레시러
9,여,30,2,2,7,1,3,서울특별시,제주,2인 가족 여행,2,1,5,spring,4,h000032,5,차분템포 자연수집 패밀리
10,남,30,1,2,4,5,4,서울특별시,제주,3인 이상 여행(가족 외),1,2,8,summer,4,h002632,4,느슨하게 떠나는 듀오 무드러
11,남,30,1,3,3,1,4,경기도,제주,나홀로 여행,1,0,6,summer,3,h001276,4,느슨하게 떠나는 듀오 무드러
12,여,20,1,3,4,1,1,경기도,제주,나홀로 여행,2,0,7,summer,5,h001647,4,느슨하게 떠나는 듀오 무드러
13,여,40,2,2,5,6,6,경기도,제주,2인 가족 여행,1,1,7,summer,4,h000794,2,탐험 ON한 듀오 트래블러
14,여,20,1,12,1,2,2,경상남도,제주,2인 여행(가족 외),2,1,7,summer,4,h002182,6,뉴트럴바이브 듀오 스테이러
15,여,40,2,3,4,2,4,서울특별시,제주,2인 가족 여행,1,1,6,summer,3,h000237,4,느슨하게 떠나는 듀오 무드러
16,남,30,1,12,2,3,2,충청남도,제주,2인 여행(가족 외),9,1,7,summer,3,h002421,6,뉴트럴바이브 듀오 스테이러
17,여,40,1,1,5,3,5,서울특별시,제주,나홀로 여행,1,0,8,summer,3,h002525,4,느슨하게 떠나는 듀오 무드러
18,여,20,1,12,1,2,4,울산광역시,제주,2인 여행(가족 외),3,1,6,summer,3,h001206,6,뉴트럴바이브 듀오 스테이러
19,여,40,2,2,4,2,2,인천광역시,제주,3인 이상 여행(가족 외),2,3,9,autumn,2,h006304,1,자연집중 번개여행 패밀리
20,남,40,1,3,6,2,3,경기도,제주,2인 여행(가족 외),1,1,6,summer,4,h000533,4,느슨하게 떠나는 듀오 무드러
21,여,60,4,3,3,2,1,인천광역시,제주,나홀로 여행,1,0,6,summer,3,h000478,4,느슨하게 떠나는 듀오 무드러
22,남,30,1,13,1,5,2,대전광역시,제주,나홀로 여행,4,0,7,summer,3,h001965,6,뉴트럴바이브 듀오 스테이러
23,여,30,2,4,3,1,3,울산광역시,제주,자녀 동반 여행,3,3,8,summer,5,h004330,7,패밀리 무드 ON 스탠다드러
24,여,50,4,3,2,1,5,광주광역시,제주,2인 가족 여행,1,1,8,summer,3,h004325,6,뉴트럴바이브 듀오 스테이러
25,남,20,1,12,2,2,2,인천광역시,제주,2인 여행(가족 외),3,1,8,summer,2,h004045,6,뉴트럴바이브 듀오 스테이러
26,여,20,1,4,2,3,2,경기도,제주,2인 여행(가족 외),7,1,6,summer,5,h001084,6,뉴트럴바이브 듀오 스테이러
27,남,30,1,3,4,1,4,제주특별자치도,제주,2인 여행(가족 외),5,1,6,summer,3,h001316,4,느슨하게 떠나는 듀오 무드러
28,여,30,2,11,1,6,1,경기도,제주,3대 동반 여행(친척 포함),3,2,6,summer,4,h000624,7,패밀리 무드 ON 스탠다드러
29,남,20,1,2,4,2,3,경기도,제주,나홀로 여행,2,0,7,summer,8,h001457,4,느슨하게 떠나는 듀오 무드러
30,남,30,1,2,4,1,2,경기도,제주,2인 여행(가족 외),2,1,8,summer,4,h004143,4,느슨하게 떠나는 듀오 무드러
31,여,20,1,7,5,5,3,경기도,제주,2인 여행(가족 외),6,1,6,summer,3,h001340,4,느슨하게 떠나는 듀오 무드러
32,여,20,1,12,2,6,5,경기도,제주,2인 여행(가족 외),3,1,8,summer,4,h003327,2,탐험 ON한 듀오 트래블러
33,남,30,2,11,1,4,2,경기도,제주,자녀 동반 여행,3,2,8,summer,2,h004324,6,뉴트럴바이브 듀오 스테이러
34,남,30,1,5,6,1,4,충청북도,제주,2인 여행(가족 외),2,1,8,summer,4,h002927,4,느슨하게 떠나는 듀오 무드러
35,여,20,1,3,3,3,3,충청남도,제주,나홀로 여행,2,0,9,autumn,4,h005110,6,뉴트럴바이브 듀오 스테이러
36,여,30,1,3,4,2,6,서울특별시,제주,3인 이상 여행(가족 외),3,2,8,summer,4,h002611,7,패밀리 무드 ON 스탠다드러
37,남,30,1,13,2,4,2,광주광역시,제주,3인 이상 여행(가족 외),2,3,8,summer,3,h002905,7,패밀리 무드 ON 스탠다드러
38,여,50,2,3,6,6,2,대전광역시,제주,자녀 동반 여행,1,2,6,summer,8,h000768,5,차분템포 자연수집 패밀리
39,남,40,2,2,6,1,1,제주특별자치도,제주,2인 가족 여행,7,1,8,summer,1,h004399,1,자연집중 번개여행 패밀리
40,여,50,1,2,7,2,3,서울특별시,제주,2인 여행(가족 외),2,1,8,summer,3,h003980,5,차분템포 자연수집 패밀리
41,남,30,2,2,7,10,1,경기도,제주,나홀로 여행,4,0,6,summer,2,h000490,2,탐험 ON한 듀오 트래블러
